,rat,day,perf_change
550,TH510,9,0.06858045849918915
551,TH605,1,
552,TH605,2,0.07923976608187144
553,TH605,3,0.03505091399828242
554,TH605,4,0.03163503163503156
555,TH605,5,0.004542124542124548
556,TH605,6,-0.12797853309481222
557,TH605,7,0.030956091934440044
558,TH605,8,0.1456622879036672
559,TH605,9,-0.05959222769567596
560,TH605,10,-0.10201673326673333
561,TH605,11,0.08791597656729244
562,TH605,12,-0.15484990048651037
563,TH605,13,-0.024709964957643105
564,TH605,14,0.09681996280293492
565,TH605,15,-0.11423123977471805
566,TH605,16,0.10419745172368877
567,TH605,17,0.10276895143836651
568,TH605,18,-0.019942123094296882
569,TH605,19,0.023452380952381002
570,TH605,20,0.0002950310559005631
571,TH605,21,-0.08319546395633348
572,TH605,22,-0.1397186147186148
573,TH605,23,0.25266290726817053
574,TH605,24,-0.0260772122614229
575,TH605,25,-0.051365388493337605
576,TH605,26,-0.08931673052362721
577,TH605,27,0.10030854522233845
578,TH605,28,0.052837024087024065
579,TH605,29,0.07320575666163898
580,TH608,1,
581,TH608,2,0.07837301587301582
582,TH608,4,-0.19589192169837333
583,TH608,5,0.030945241271816748
584,TH608,6,0.022322964273428614
585,TH608,7,-0.0038409303115184423
586,TH608,8,0.028231028231028188
587,TH608,9,0.03972323972323977
588,TH608,10,-0.07849445240749597
589,TH608,11,0.022436929683306572
590,TH608,12,0.040515613652868376
591,TH608,13,0.05753325106266294
592,TH608,14,-0.03199948199948199
593,TH608,15,-0.16137248835899498
594,TH608,16,0.00472760818470308
595,TH608,17,0.019677287581699288
596,TH608,18,0.09020833333333333
597,TH608,19,0.006250000000000089
598,TH608,20,-0.027226064997804222
599,TH608,21,-0.07971315805983992
600,TH608,22,-0.011616978492743457
601,TH608,23,0.10202678798150033
602,TH608,24,-0.04944280865333506
603,TH608,25,0.08813756189457878
604,TH608,26,-0.16297973361175044
605,TH608,27,0.1417508902387934
606,TH608,28,-0.02379158661138625
607,TH608,29,0.05059059755836359
608,TH608,30,-0.002437888198757676
609,TH608,31,-0.020792633292633256
610,TH608,32,-0.031008996450173076
611,TH608,33,0.011788701494583886
612,TH608,34,0.012019230769230838
613,TH608,35,-0.013276143790849737
614,TH608,36,-0.09049187527448388
