,rat,day,trial_type,total_trials,correct_trials
654,BP22,23,2,16.0,14.0
655,BP22,23,3,12.0,6.0
656,BP22,23,4,12.0,7.0
657,BP22,24,1,12.0,10.0
658,BP22,24,2,9.0,8.0
659,BP22,24,3,17.0,15.0
660,BP22,24,4,16.0,15.0
661,BP22,12,1,9.0,7.0
662,BP22,12,2,11.0,9.0
663,BP22,12,3,12.0,8.0
664,BP22,12,4,12.0,10.0
665,BP22,15,1,9.0,7.0
666,BP22,15,2,10.0,5.0
667,BP22,15,3,11.0,5.0
668,BP22,15,4,13.0,6.0
669,BP22,49,1,13.0,13.0
670,BP22,49,2,14.0,12.0
671,BP22,49,3,12.0,11.0
672,BP22,49,4,14.0,14.0
673,BP22,47,1,13.0,10.0
674,BP22,47,2,8.0,8.0
675,BP22,47,3,11.0,10.0
676,BP22,47,4,11.0,8.0
677,BP22,40,1,12.0,12.0
678,BP22,40,2,6.0,6.0
679,BP22,40,3,11.0,9.0
680,BP22,40,4,12.0,11.0
681,BP22,14,1,13.0,13.0
682,BP22,14,2,12.0,9.0
683,BP22,14,3,11.0,9.0
684,BP22,14,4,11.0,9.0
685,BP22,13,1,14.0,13.0
686,BP22,13,2,14.0,12.0
687,BP22,13,3,19.0,15.0
688,BP22,13,4,15.0,13.0
689,BP22,25,1,16.0,12.0
690,BP22,25,2,14.0,13.0
691,BP22,25,3,15.0,15.0
692,BP22,25,4,15.0,15.0
693,BP22,22,1,10.0,8.0
694,BP22,22,2,14.0,13.0
695,BP22,22,3,10.0,9.0
696,BP22,22,4,11.0,8.0
697,BP22,50,1,14.0,14.0
698,BP22,50,2,15.0,14.0
699,BP22,50,3,19.0,17.0
700,BP22,50,4,17.0,16.0
701,BP22,35,1,8.0,7.0
702,BP22,35,2,8.0,7.0
703,BP22,35,3,6.0,4.0
704,BP22,35,4,14.0,12.0
705,BP22,32,1,13.0,11.0
706,BP22,32,2,11.0,9.0
707,BP22,32,3,12.0,9.0
708,BP22,32,4,11.0,8.0
709,BP22,33,1,11.0,7.0
710,BP22,33,2,11.0,9.0
711,BP22,33,3,12.0,7.0
712,BP22,33,4,11.0,8.0
713,BP22,34,1,15.0,15.0
714,BP22,34,2,11.0,10.0
715,BP22,34,3,15.0,12.0
716,BP22,34,4,11.0,8.0
717,BP22,7,1,31.0,29.0
718,BP22,7,2,30.0,26.0
719,BP22,9,1,10.0,9.0
720,BP22,9,2,13.0,12.0
721,BP22,9,3,13.0,10.0
722,BP22,8,1,15.0,12.0
723,BP22,8,2,15.0,12.0
724,BP22,8,3,17.0,14.0
725,BP22,6,1,28.0,26.0
726,BP22,6,2,29.0,24.0
727,BP22,1,1,8.0,4.0
728,BP22,1,2,7.0,3.0
729,BP22,27,1,17.0,13.0
730,BP22,27,2,11.0,11.0
731,BP22,27,3,10.0,9.0
732,BP22,27,4,11.0,11.0
733,BP22,18,1,6.0,6.0
734,BP22,18,2,9.0,9.0
735,BP22,18,3,9.0,6.0
736,BP22,18,4,8.0,5.0
737,BP22,20,1,17.0,16.0
738,BP22,20,2,12.0,11.0
739,BP22,20,3,12.0,11.0
740,BP22,20,4,12.0,11.0
741,BP22,16,1,14.0,14.0
742,BP22,16,2,12.0,11.0
743,BP22,16,3,15.0,12.0
744,BP22,16,4,14.0,11.0
745,BP22,29,1,25.0,22.0
746,BP22,29,2,14.0,13.0
747,BP22,29,3,9.0,7.0
748,BP22,29,4,9.0,9.0
749,BP22,11,1,15.0,12.0
750,BP22,11,2,12.0,12.0
751,BP22,11,3,13.0,12.0
752,BP22,11,4,19.0,15.0
753,BP22,45,1,9.0,9.0
754,BP22,45,2,10.0,6.0
755,BP22,45,3,11.0,5.0
756,BP22,45,4,12.0,5.0
757,BP22,42,1,12.0,12.0
758,BP22,42,2,16.0,14.0
759,BP22,42,3,13.0,10.0
760,BP22,42,4,15.0,10.0
761,BP22,10,1,17.0,16.0
762,BP22,10,2,19.0,18.0
763,BP22,10,3,18.0,18.0
764,BP22,17,1,7.0,6.0
765,BP22,17,2,11.0,5.0
766,BP22,17,3,9.0,4.0
767,BP22,17,4,8.0,4.0
768,BP22,28,1,20.0,14.0
769,BP22,28,2,8.0,5.0
770,BP22,28,3,4.0,1.0
