,rat,day,trial_type,days_since_new_arm,perf_change
585,TH608,7,3,2,0.02056277056277056
586,TH608,8,3,3,0.1048951048951049
587,TH608,9,3,4,0.23882783882783887
588,TH608,10,3,5,-0.161904761904762
589,TH608,11,3,6,-0.03703703703703698
590,TH608,12,3,7,0.13037037037037036
591,TH608,13,3,8,0.009230769230769265
592,TH608,14,3,9,0.008547008547008517
593,TH608,15,4,0,-0.051724137931034475
594,TH608,16,4,1,0.10727969348659006
595,TH608,17,4,2,0.23611111111111105
596,TH608,18,4,3,0.017857142857142905
597,TH608,19,4,4,-0.10952380952380958
598,TH608,20,4,5,0.2090909090909091
599,TH608,21,4,6,-0.05909090909090908
600,TH608,22,4,7,-0.19999999999999996
601,TH608,23,4,8,0.2730769230769231
602,TH608,24,4,9,0.02136752136752129
603,TH608,25,4,10,0.007936507936507908
604,TH608,26,4,11,-0.6190476190476191
605,TH608,27,4,12,0.34848484848484845
606,TH608,28,4,13,0.17532467532467533
607,TH608,29,4,14,0.09285714285714286
608,TH608,30,4,15,-0.09285714285714286
609,TH608,31,4,16,-0.042328042328042326
610,TH608,32,4,17,0.008714596949891074
611,TH608,33,4,18,0.05882352941176472
612,TH608,34,4,19,-0.06985294117647056
613,TH608,35,4,20,0.011029411764705843
614,TH608,36,4,21,0.13101604278074874
